pnr_no,name,age,way_from,way_to,conformation,fare
453256,Ashish,22.0,Pune,Mumbai,Y,1400.0
345356,Abhinav,18.0,Kolkata,Indore,Y,2550.0
543678,Abhijeet,17.0,Pune,Patna,Y,3000.0
323433,Sujal,19.0,Surat,Jaipur,Y,1500.0
865687,Anjali,18.0,Bikaner,Bophal,N,1000.0
986890,Anushka,17.0,Pune,Varanasi,Y,1250.0
373255,Payal,19.0,Pune,Raipur,Y,1400.0
316486,Sreyoshi,18.0,Pune,Jabalpur,Y,1500.0
129816,Saee,17.0,Pune,Delhi,N,2500.0
525081,Deepali,22.0,Lucknow,Kanpur,Y,860.0
371098,rohit,22.0,Chennai,Delhi,y,2946.0
767691,Amit,43.0,Hyderabad,Amritsar,y,1028.0
231175,Vaishnavi,44.0,Amritsar,Banglore,y,2242.0
654321,Aarav,21.0,Mumbai,Delhi,Y,1800.0
674312,Aarushi,20.0,Delhi,Mumbai,Y,1900.0
787878,Aayush,25.0,Chennai,Kolkata,Y,2100.0
323478,Bhavya,19.0,Surat,Mumbai,Y,1300.0
899076,Chetan,29.0,Delhi,Kolkata,N,2400.0
654321,Deepak,27.0,Mumbai,Chennai,Y,2000.0
134567,Diya,26.0,Kolkata,Delhi,Y,1750.0
234567,Gaurav,28.0,Delhi,Mumbai,Y,2050.0
345672,Ishan,31.0,Mumbai,Kolkata,Y,2200.0
456789,Kavita,35.0,Chennai,Mumbai,Y,2450.0
908723,Kiran,34.0,Kolkata,Chennai,Y,2300.0
763452,Meera,30.0,Mumbai,Kolkata,N,2150.0
234561,Mohan,40.0,Delhi,Mumbai,Y,2600.0
876545,Neha,39.0,Mumbai,Delhi,Y,2550.0
345689,Pranav,36.0,Chennai,Delhi,Y,2500.0
987654,Priya,38.0,Kolkata,Mumbai,Y,2400.0
543289,Rahul,42.0,Delhi,Chennai,Y,2650.0
123987,Rani,41.0,Mumbai,Chennai,Y,2600.0
876512,Sagar,37.0,Kolkata,Mumbai,N,2300.0
452109,Smita,33.0,Mumbai,Chennai,Y,2350.0
322394,Sagar,17.0,Pune,Hyderabad,y,3254.0
